,cond,dist,id,sent,subj,verb,pc,surprisal_Albert,surprisal_BERT,surprisal_gpt2,surprisal_roBERTa
20,pl_pl,car,6,Pauline saw the van that the man by the car very carefully drove despite all the bad traffic.,van,drove,What Pauline saw was the van that the man by the car very carefully drove despite all the bad traffic.,28.121322631835938,20.78614044189453,4.258123874664307,11.498494148254395
21,impl_pl,car,6,Pauline saw the box that the man by the car very carefully drove despite all the bad traffic.,box,drove,What Pauline saw was the box that the man by the car very carefully drove despite all the bad traffic.,23.51639747619629,21.977325439453125,8.785554885864258,12.5960111618042
22,pl_impl,bin,6,Pauline saw the van that the man by the bin very carefully drove despite all the bad traffic.,van,drove,What Pauline saw was the van that the man by the bin very carefully drove despite all the bad traffic.,26.599090576171875,20.544788360595703,5.06519079208374,11.218668937683105
23,impl_impl,bin,6,Pauline saw the box that the man by the bin very carefully drove despite all the bad traffic.,box,drove,What Pauline saw was the box that the man by the bin very carefully drove despite all the bad traffic.,21.567567825317383,21.56727409362793,10.632011413574219,12.701774597167969
24,pl_pl,money,7,Gregory remembered the diamond that the robber with the money very secretly stole late at night last week.,diamond,stole,What Gregory remembered was the diamond that the robber with the money very secretly stole late at night last week.,27.440969467163086,12.20209789276123,4.334925174713135,22.0190486907959
25,impl_pl,money,7,Gregory remembered the house that the robber with the money very secretly stole late at night last week.,house,stole,What Gregory remembered was the house that the robber with the money very secretly stole late at night last week.,29.842533111572266,13.720478057861328,5.4307050704956055,23.055662155151367
26,pl_impl,cough,7,Gregory remembered the diamond that the robber with the cough very secretly stole late at night last week.,diamond,stole,What Gregory remembered was the diamond that the robber with the cough very secretly stole late at night last week.,26.87834930419922,11.057995796203613,5.553112030029297,19.908967971801758
27,impl_impl,cough,7,Gregory remembered the house that the robber with the cough very secretly stole late at night last week.,house,stole,What Gregory remembered was the house that the robber with the cough very secretly stole late at night last week.,31.270292282104492,13.585197448730469,7.085149765014648,23.60244369506836
28,pl_pl,script,8,Jessica liked the poem that the student with the script passionately recited a few hours ago today.,poem,recited,What Jessica liked was the poem that the student with the script passionately recited a few hours ago today.,28.261592864990234,16.284448623657227,,
29,impl_pl,script,8,Jessica liked the pen that the student with the script passionately recited a few hours ago today.,pen,recited,What Jessica liked was the pen that the student with the script passionately recited a few hours ago today.,32.74580383300781,18.56804656982422,,
30,pl_impl,pencil,8,Jessica liked the poem that the student with the pencil passionately recited a few hours ago today.,poem,recited,What Jessica liked was the poem that the student with the pencil passionately recited a few hours ago today.,28.9788818359375,16.886606216430664,,
31,impl_impl,pencil,8,Jessica liked the pen that the student with the pencil passionately recited a few hours ago today.,pen,recited,What Jessica liked was the pen that the student with the pencil passionately recited a few hours ago today.,30.451147079467773,21.288619995117188,,
32,pl_pl,tree,9,Matthew remembered the wood that the man by the tree quite expertly chopped to help build a fire.,wood,chopped,What Matthew remembered was the wood that the man by the tree quite expertly chopped to help build a fire.,23.312320709228516,19.501907348632812,7.351855278015137,8.194744110107422
33,impl_pl,tree,9,Matthew remembered the pond that the man by the tree quite expertly chopped to help build a fire.,pond,chopped,What Matthew remembered was the pond that the man by the tree quite expertly chopped to help build a fire.,24.73649024963379,22.00387954711914,10.329946517944336,19.128713607788086
34,pl_impl,lake,9,Matthew remembered the wood that the man by the lake quite expertly chopped to help build a fire.,wood,chopped,What Matthew remembered was the wood that the man by the lake quite expertly chopped to help build a fire.,19.400466918945312,20.977109909057617,7.6526570320129395,8.404426574707031
35,impl_impl,lake,9,Matthew remembered the pond that the man by the lake quite expertly chopped to help build a fire.,pond,chopped,What Matthew remembered was the pond that the man by the lake quite expertly chopped to help build a fire.,23.157573699951172,22.455564498901367,11.293201446533203,18.6997013092041
36,pl_pl,report,10,Bernadette saw the email that the manager with the report very hastily wrote earlier in a real hurry.,email,wrote,What Bernadette saw was the email that the manager with the report very hastily wrote earlier in a real hurry.,22.186410903930664,14.495817184448242,4.854129314422607,18.448251724243164
37,impl_pl,report,10,Bernadette saw the laptop that the manager with the report very hastily wrote earlier in a real hurry.,laptop,wrote,What Bernadette saw was the laptop that the manager with the report very hastily wrote earlier in a real hurry.,21.71282386779785,14.30572509765625,7.181289196014404,21.634483337402344
38,pl_impl,office,10,Bernadette saw the email that the manager with the office very hastily wrote earlier in a real hurry.,email,wrote,What Bernadette saw was the email that the manager with the office very hastily wrote earlier in a real hurry.,20.47972297668457,16.106321334838867,5.1797871589660645,15.10257339477539
39,impl_impl,office,10,Bernadette saw the laptop that the manager with the office very hastily wrote earlier in a real hurry.,laptop,wrote,What Bernadette saw was the laptop that the manager with the office very hastily wrote earlier in a real hurry.,20.98427963256836,16.034025192260742,8.48074722290039,20.372703552246094
40,pl_pl,house,11,Mary noticed the garage that the couple by the house very cleverly built a couple of years earlier.,garage,built,What Mary noticed was the garage that the couple by the house very cleverly built a couple of years earlier.,21.065465927124023,7.683465480804443,3.3265364170074463,13.555571556091309
41,impl_pl,house,11,Mary noticed the flower that the couple by the house very cleverly built a couple of years earlier.,flower,built,What Mary noticed was the flower that the couple by the house very cleverly built a couple of years earlier.,20.552703857421875,10.319665908813477,8.39228630065918,23.34911346435547
42,pl_impl,tree,11,Mary noticed the garage that the couple by the tree very cleverly built a couple of years earlier.,garage,built,What Mary noticed was the garage that the couple by the tree very cleverly built a couple of years earlier.,16.96864891052246,7.893716335296631,3.648721218109131,16.93532371520996
43,impl_impl,tree,11,Mary noticed the flower that the couple by the tree very cleverly built a couple of years earlier.,flower,built,What Mary noticed was the flower that the couple by the tree very cleverly built a couple of years earlier.,20.21408462524414,11.743670463562012,8.61878776550293,20.618179321289062
44,pl_pl,rose,12,Nigel saw the daffodil that the guy near the rose very happily watered as the sun shone brightly.,daffodil,watered,What Nigel saw was the daffodil that the guy near the rose very happily watered as the sun shone brightly.,,16.64906883239746,14.230182647705078,28.013734817504883
45,impl_pl,rose,12,Nigel saw the pavement that the guy near the rose very happily watered as the sun shone brightly.,pavement,watered,What Nigel saw was the pavement that the guy near the rose very happily watered as the sun shone brightly.,,18.424938201904297,14.377883911132812,21.597126007080078
46,pl_impl,door,12,Nigel saw the daffodil that the guy near the door very happily watered as the sun shone brightly.,daffodil,watered,What Nigel saw was the daffodil that the guy near the door very happily watered as the sun shone brightly.,,20.2072696685791,15.289250373840332,24.96525764465332
47,impl_impl,door,12,Nigel saw the pavement that the guy near the door very happily watered as the sun shone brightly.,pavement,watered,What Nigel saw was the pavement that the guy near the door very happily watered as the sun shone brightly.,,22.828060150146484,14.292974472045898,23.936153411865234
48,pl_pl,cart,13,Monica saw the trolley that the man by the cart quite hastily pushed while looking for some food.,trolley,pushed,What Monica saw was the trolley that the man by the cart quite hastily pushed while looking for some food.,22.619583129882812,13.019476890563965,7.134815216064453,17.81016731262207
49,impl_pl,cart,13,Monica saw the building that the man by the cart quite hastily pushed while looking for some food.,building,pushed,What Monica saw was the building that the man by the cart quite hastily pushed while looking for some food.,24.02473258972168,11.864237785339355,8.53005599975586,21.07723617553711
50,pl_impl,shop,13,Monica saw the trolley that the man by the shop quite hastily pushed while looking for some food.,trolley,pushed,What Monica saw was the trolley that the man by the shop quite hastily pushed while looking for some food.,24.297935485839844,13.001580238342285,7.827366828918457,19.728914260864258
51,impl_impl,shop,13,Monica saw the building that the man by the shop quite hastily pushed while looking for some food.,building,pushed,What Monica saw was the building that the man by the shop quite hastily pushed while looking for some food.,22.241302490234375,11.821081161499023,9.90570068359375,21.898509979248047
52,pl_pl,meal,14,Julia saw the bread that the lady with the meal quite happily ate during an expensive night out.,bread,ate,What Julia saw was the bread that the lady with the meal quite happily ate during an expensive night out.,10.575713157653809,17.727413177490234,1.7253373861312866,13.364995956420898
53,impl_pl,meal,14,Julia saw the beer that the lady with the meal quite happily ate during an expensive night out.,beer,ate,What Julia saw was the beer that the lady with the meal quite happily ate during an expensive night out.,12.5735502243042,16.381629943847656,3.8199095726013184,15.436622619628906
54,pl_impl,wine,14,Julia saw the bread that the lady with the wine quite happily ate during an expensive night out.,bread,ate,What Julia saw was the bread that the lady with the wine quite happily ate during an expensive night out.,14.036118507385254,14.512018203735352,3.0645687580108643,11.911175727844238
55,impl_impl,wine,14,Julia saw the beer that the lady with the wine quite happily ate during an expensive night out.,beer,ate,What Julia saw was the beer that the lady with the wine quite happily ate during an expensive night out.,10.405926704406738,15.262127876281738,5.926822662353516,14.135066986083984
56,pl_pl,tiles,15,Warren noticed the glass that the girl by the tiles accidently cracked earlier near the kitchen sink.,glass,cracked,What Warren noticed was the glass that the girl by the tiles accidently cracked earlier near the kitchen sink.,30.306201934814453,19.31656265258789,9.018407821655273,15.6885347366333
57,impl_pl,tiles,15,Warren noticed the shirt that the girl by the tiles accidently cracked earlier near the kitchen sink.,shirt,cracked,What Warren noticed was the shirt that the girl by the tiles accidently cracked earlier near the kitchen sink.,32.115394592285156,20.717805862426758,12.876998901367188,30.58407211303711
58,pl_impl,food,15,Warren noticed the glass that the girl by the food accidently cracked earlier near the kitchen sink.,glass,cracked,What Warren noticed was the glass that the girl by the food accidently cracked earlier near the kitchen sink.,29.730329513549805,17.526386260986328,10.139613151550293,21.81635093688965
59,impl_impl,food,15,Warren noticed the shirt that the girl by the food accidently cracked earlier near the kitchen sink.,shirt,cracked,What Warren noticed was the shirt that the girl by the food accidently cracked earlier near the kitchen sink.,24.67481803894043,19.403396606445312,13.755242347717285,29.08405113220215
60,pl_pl,hat,16,Hillary remembered the shirt that the teenager with the hat very happily wore during a big night out.,shirt,wore,What Hillary remembered was the shirt that the teenager with the hat very happily wore during a big night out.,30.373023986816406,12.613557815551758,1.55022132396698,12.039087295532227
61,impl_pl,hat,16,Hillary remembered the glass that the teenager with the hat very happily wore during a big night out.,glass,wore,What Hillary remembered was the glass that the teenager with the hat very happily wore during a big night out.,31.496976852416992,12.122339248657227,5.486673831939697,17.451549530029297
62,pl_impl,pen,16,Hillary remembered the shirt that the teenager with the pen very happily wore during a big night out.,shirt,wore,What Hillary remembered was the shirt that the teenager with the pen very happily wore during a big night out.,31.444252014160156,15.424068450927734,1.7935316562652588,14.488422393798828
63,impl_impl,pen,16,Hillary remembered the glass that the teenager with the pen very happily wore during a big night out.,glass,wore,What Hillary remembered was the glass that the teenager with the pen very happily wore during a big night out.,32.63759994506836,15.491477966308594,7.554845333099365,17.5277156829834
64,pl_pl,ornament,17,Barry saw the table that the housewife with the ornament carefully dusted an hour or two ago.,table,dusted,What Barry saw was the table that the housewife with the ornament carefully dusted an hour or two ago.,,,,
65,impl_pl,ornament,17,Barry saw the potato that the housewife with the ornament carefully dusted an hour or two ago.,potato,dusted,What Barry saw was the potato that the housewife with the ornament carefully dusted an hour or two ago.,,,,
66,pl_impl,shopping,17,Barry saw the table that the housewife with the shopping carefully dusted an hour or two ago.,table,dusted,What Barry saw was the table that the housewife with the shopping carefully dusted an hour or two ago.,,,,
67,impl_impl,shopping,17,Barry saw the potato that the housewife with the shopping carefully dusted an hour or two ago.,potato,dusted,What Barry saw was the potato that the housewife with the shopping carefully dusted an hour or two ago.,,,,
68,pl_pl,juice,18,Joanna noticed the water that the boy with the juice very stupidly poured during a break at school.,water,poured,What Joanna noticed was the water that the boy with the juice very stupidly poured during a break at school.,25.551027297973633,21.222537994384766,3.725956678390503,16.338531494140625
69,impl_pl,juice,18,Joanna noticed the spoon that the boy with the juice very stupidly poured during a break at school.,spoon,poured,What Joanna noticed was the spoon that the boy with the juice very stupidly poured during a break at school.,21.03012466430664,22.5562686920166,6.362592697143555,24.370420455932617
70,pl_impl,napkin,18,Joanna noticed the water that the boy with the napkin very stupidly poured during a break at school.,water,poured,What Joanna noticed was the water that the boy with the napkin very stupidly poured during a break at school.,25.880277633666992,21.083885192871094,4.167983055114746,24.233478546142578
71,impl_impl,napkin,18,Joanna noticed the spoon that the boy with the napkin very stupidly poured during a break at school.,spoon,poured,What Joanna noticed was the spoon that the boy with the napkin very stupidly poured during a break at school.,24.332721710205078,22.537784576416016,7.499985694885254,29.053281784057617
72,pl_pl,essay,19,Nathan noticed the note that the student with the essay patiently wrote during a very dull class.,note,wrote,What Nathan noticed was the note that the student with the essay patiently wrote during a very dull class.,9.864960670471191,9.126818656921387,3.635380506515503,20.26502799987793
73,impl_pl,essay,19,Nathan noticed the bag that the student with the essay patiently wrote during a very dull class.,bag,wrote,What Nathan noticed was the bag that the student with the essay patiently wrote during a very dull class.,19.8616886138916,11.597771644592285,7.776522636413574,22.4744815826416
74,pl_impl,ruler,19,Nathan noticed the note that the student with the ruler patiently wrote during a very dull class.,note,wrote,What Nathan noticed was the note that the student with the ruler patiently wrote during a very dull class.,14.850295066833496,12.411517143249512,4.229608058929443,22.792551040649414
75,impl_impl,ruler,19,Nathan noticed the bag that the student with the ruler patiently wrote during a very dull class.,bag,wrote,What Nathan noticed was the bag that the student with the ruler patiently wrote during a very dull class.,28.840187072753906,12.206201553344727,9.662178993225098,23.986248016357422
76,pl_pl,magazines,20,Tabitha remembered the newspaper that the lady by the magazines very slowly read while relaxing back at home.,newspaper,read,What Tabitha remembered was the newspaper that the lady by the magazines very slowly read while relaxing back at home.,13.714097023010254,19.16954803466797,7.049158573150635,12.766007423400879
77,impl_pl,magazines,20,Tabitha remembered the candlestick that the lady by the magazines very slowly read while relaxing back at home.,candlestick,read,What Tabitha remembered was the candlestick that the lady by the magazines very slowly read while relaxing back at home.,15.730895042419434,20.71604347229004,9.817153930664062,20.234909057617188
78,pl_impl,fireplace,20,Tabitha remembered the newspaper that the lady by the fireplace very slowly read while relaxing back at home.,newspaper,read,What Tabitha remembered was the newspaper that the lady by the fireplace very slowly read while relaxing back at home.,16.607372283935547,19.97306251525879,7.611435413360596,11.403200149536133
79,impl_impl,fireplace,20,Tabitha remembered the candlestick that the lady by the fireplace very slowly read while relaxing back at home.,candlestick,read,What Tabitha remembered was the candlestick that the lady by the fireplace very slowly read while relaxing back at home.,16.558507919311523,17.538108825683594,10.4157133102417,12.550471305847168
80,pl_pl,bike,21,Tim saw the skateboard that the teenager by the bike dangerously rode without looking where to go.,skateboard,rode,What Tim saw was the skateboard that the teenager by the bike dangerously rode without looking where to go.,6.896797180175781,14.191028594970703,6.295855522155762,28.499460220336914
81,impl_pl,bike,21,Tim saw the cardboard that the teenager by the bike dangerously rode without looking where to go.,cardboard,rode,What Tim saw was the cardboard that the teenager by the bike dangerously rode without looking where to go.,20.026039123535156,14.996357917785645,7.93862771987915,25.683622360229492
82,pl_impl,pond,21,Tim saw the skateboard that the teenager by the pond dangerously rode without looking where to go.,skateboard,rode,What Tim saw was the skateboard that the teenager by the pond dangerously rode without looking where to go.,14.980013847351074,22.090341567993164,7.426689624786377,28.998571395874023
83,impl_impl,pond,21,Tim saw the cardboard that the teenager by the pond dangerously rode without looking where to go.,cardboard,rode,What Tim saw was the cardboard that the teenager by the pond dangerously rode without looking where to go.,26.925683975219727,21.21304702758789,12.304408073425293,27.761310577392578
84,pl_pl,pork,22,Annabelle saw the steak that the cook with the pork quite expertly grilled during the rush at lunch.,steak,grilled,What Annabelle saw was the steak that the cook with the pork quite expertly grilled during the rush at lunch.,,,8.268470764160156,38.354591369628906
85,impl_pl,pork,22,Annabelle saw the knife that the cook with the pork quite expertly grilled during the rush at lunch.,knife,grilled,What Annabelle saw was the knife that the cook with the pork quite expertly grilled during the rush at lunch.,,,14.51440143585205,38.210960388183594
86,pl_impl,fork,22,Annabelle saw the steak that the cook with the fork quite expertly grilled during the rush at lunch.,steak,grilled,What Annabelle saw was the steak that the cook with the fork quite expertly grilled during the rush at lunch.,,,8.258772850036621,30.872844696044922
87,impl_impl,fork,22,Annabelle saw the knife that the cook with the fork quite expertly grilled during the rush at lunch.,knife,grilled,What Annabelle saw was the knife that the cook with the fork quite expertly grilled during the rush at lunch.,,,15.114484786987305,40.25191879272461
88,pl_pl,plane,23,Jake noticed the helicopter that the pilot by the plane rather expertly landed a couple o nights ago.,helicopter,landed,What Jake noticed was the helicopter that the pilot by the plane rather expertly landed a couple o nights ago.,16.66876220703125,16.64037322998047,6.557102203369141,22.867868423461914
89,impl_pl,plane,23,Jake noticed the automobile that the pilot by the plane rather expertly landed a couple o nights ago.,automobile,landed,What Jake noticed was the automobile that the pilot by the plane rather expertly landed a couple o nights ago.,19.35533905029297,17.48432731628418,9.451851844787598,21.791709899902344
90,pl_impl,tank,23,Jake noticed the helicopter that the pilot by the tank rather expertly landed a couple o nights ago.,helicopter,landed,What Jake noticed was the helicopter that the pilot by the tank rather expertly landed a couple o nights ago.,22.062862396240234,17.316564559936523,7.032251834869385,24.629236221313477
91,impl_impl,tank,23,Jake noticed the automobile that the pilot by the tank rather expertly landed a couple o nights ago.,automobile,landed,What Jake noticed was the automobile that the pilot by the tank rather expertly landed a couple o nights ago.,22.372020721435547,19.325973510742188,10.16627311706543,25.422252655029297
92,pl_pl,boat,24,Wendy remembered the yacht that the man with the boat quite confidently sailed on hot and sunny day.,yacht,sailed,What Wendy remembered was the yacht that the man with the boat quite confidently sailed on hot and sunny day.,15.194890975952148,17.49912452697754,6.806005954742432,20.194377899169922
93,impl_pl,boat,24,Wendy remembered the beach that the man with the boat quite confidently sailed on hot and sunny day.,beach,sailed,What Wendy remembered was the beach that the man with the boat quite confidently sailed on hot and sunny day.,17.354171752929688,17.416481018066406,7.508228778839111,20.533496856689453
94,pl_impl,shirt,24,Wendy remembered the yacht that the man with the shirt quite confidently sailed on hot and sunny day.,yacht,sailed,What Wendy remembered was the yacht that the man with the shirt quite confidently sailed on hot and sunny day.,15.038534164428711,19.849700927734375,8.347935676574707,25.705976486206055
95,impl_impl,shirt,24,Wendy remembered the beach that the man with the shirt quite confidently sailed on hot and sunny day.,beach,sailed,What Wendy remembered was the beach that the man with the shirt quite confidently sailed on hot and sunny day.,17.90015983581543,19.871652603149414,10.189016342163086,25.30805778503418
96,pl_pl,guitar,25,Barry saw the piano that the pupil by the guitar passionately played during a recital one day.,piano,played,What Barry saw was the piano that the pupil by the guitar passionately played during a recital one day.,33.619651794433594,11.113630294799805,2.316614866256714,23.14373016357422
97,impl_pl,guitar,25,Barry saw the stage that the pupil by the guitar passionately played during a recital one day.,stage,played,What Barry saw was the stage that the pupil by the guitar passionately played during a recital one day.,27.90247344970703,11.777739524841309,5.733951091766357,21.18690299987793
98,pl_impl,curtain,25,Barry saw the piano that the pupil by the curtain passionately played during a recital one day.,piano,played,What Barry saw was the piano that the pupil by the curtain passionately played during a recital one day.,32.0153694152832,11.24774169921875,3.002007484436035,24.095487594604492
99,impl_impl,curtain,25,Barry saw the stage that the pupil by the curtain passionately played during a recital one day.,stage,played,What Barry saw was the stage that the pupil by the curtain passionately played during a recital one day.,35.92026138305664,13.974837303161621,8.7801513671875,23.287229537963867
100,pl_pl,bread,26,Jessica saw the cupcake that the lady by the bread very carefully baked while in the kitchen today.,cupcake,baked,What Jessica saw was the cupcake that the lady by the bread very carefully baked while in the kitchen today.,32.67721939086914,29.561670303344727,8.40384578704834,17.92428970336914
101,impl_pl,bread,26,Jessica saw the handbag that the lady by the bread very carefully baked while in the kitchen today.,handbag,baked,What Jessica saw was the handbag that the lady by the bread very carefully baked while in the kitchen today.,33.740501403808594,29.507417678833008,14.372753143310547,24.39019203186035
102,pl_impl,kettle,26,Jessica saw the cupcake that the lady by the kettle very carefully baked while in the kitchen today.,cupcake,baked,What Jessica saw was the cupcake that the lady by the kettle very carefully baked while in the kitchen today.,32.883522033691406,31.113466262817383,9.53632640838623,11.415888786315918
103,impl_impl,kettle,26,Jessica saw the handbag that the lady by the kettle very carefully baked while in the kitchen today.,handbag,baked,What Jessica saw was the handbag that the lady by the kettle very carefully baked while in the kitchen today.,33.109466552734375,31.025623321533203,16.03443145751953,19.69085693359375
104,pl_pl,apple,27,Bob noticed the orange that the boy with the apple really slowly peeled after relaxing in the sun.,orange,peeled,What Bob noticed was the orange that the boy with the apple really slowly peeled after relaxing in the sun.,29.015302658081055,26.547245025634766,5.244051933288574,10.503035545349121
105,impl_pl,apple,27,Bob noticed the towel that the boy with the apple really slowly peeled after relaxing in the sun.,towel,peeled,What Bob noticed was the towel that the boy with the apple really slowly peeled after relaxing in the sun.,28.413713455200195,27.42568016052246,6.398151874542236,13.842537879943848
106,pl_impl,juice,27,Bob noticed the orange that the boy with the juice really slowly peeled after relaxing in the sun.,orange,peeled,What Bob noticed was the orange that the boy with the juice really slowly peeled after relaxing in the sun.,34.081756591796875,26.08757972717285,6.011837482452393,7.170900821685791
107,impl_impl,juice,27,Bob noticed the towel that the boy with the juice really slowly peeled after relaxing in the sun.,towel,peeled,What Bob noticed was the towel that the boy with the juice really slowly peeled after relaxing in the sun.,30.515853881835938,27.462739944458008,6.52349328994751,12.074076652526855
108,pl_pl,scarf,28,Janice admired the jumper that the woman with the scarf quite happily knitted while at home last week.,jumper,knitted,What Janice admired was the jumper that the woman with the scarf quite happily knitted while at home last week.,,,,
109,impl_pl,scarf,28,Janice admired the fireplace that the woman with the scarf quite happily knitted while at home last week.,fireplace,knitted,What Janice admired was the fireplace that the woman with the scarf quite happily knitted while at home last week.,,,,
110,pl_impl,paper,28,Janice admired the jumper that the woman with the paper quite happily knitted while at home last week.,jumper,knitted,What Janice admired was the jumper that the woman with the paper quite happily knitted while at home last week.,,,,
111,impl_impl,paper,28,Janice admired the fireplace that the woman with the paper quite happily knitted while at home last week.,fireplace,knitted,What Janice admired was the fireplace that the woman with the paper quite happily knitted while at home last week.,,,,
112,pl_pl,bread,29,Melissa liked the crumpet that the woman with the bread very quickly toasted one busy day before work.,crumpet,toasted,What Melissa liked was the crumpet that the woman with the bread very quickly toasted one busy day before work.,,,,
113,impl_pl,bread,29,Melissa liked the teapot that the woman with the bread very quickly toasted one busy day before work.,teapot,toasted,What Melissa liked was the teapot that the woman with the bread very quickly toasted one busy day before work.,,,,
114,pl_impl,plate,29,Melissa liked the crumpet that the woman with the plate very quickly toasted one busy day before work.,crumpet,toasted,What Melissa liked was the crumpet that the woman with the plate very quickly toasted one busy day before work.,,,,
115,impl_impl,plate,29,Melissa liked the teapot that the woman with the plate very quickly toasted one busy day before work.,teapot,toasted,What Melissa liked was the teapot that the woman with the plate very quickly toasted one busy day before work.,,,,
116,pl_pl,cash,30,Jimmy noticed the money that the guy with the cash needlessly spent during a large shopping spree.,money,spent,What Jimmy noticed was the money that the guy with the cash needlessly spent during a large shopping spree.,14.530678749084473,23.565975189208984,5.150415897369385,10.641340255737305
117,impl_pl,cash,30,Jimmy noticed the store that the guy with the cash needlessly spent during a large shopping spree.,store,spent,What Jimmy noticed was the store that the guy with the cash needlessly spent during a large shopping spree.,14.602184295654297,25.565204620361328,9.169968605041504,17.4303035736084
118,pl_impl,cap,30,Jimmy noticed the money that the guy with the cap needlessly spent during a large shopping spree.,money,spent,What Jimmy noticed was the money that the guy with the cap needlessly spent during a large shopping spree.,12.787397384643555,26.797210693359375,4.198973655700684,5.745420932769775
